rank,alpha,trainable_params,train_time_min,peak_vram_gb,eval_loss,eval_perplexity
8,16,1843200,3.863050393263499,7.216137728,1.5576941967010498,4.747860980375087
16,32,3686400,3.988256009419759,6.617750016,1.5160834789276123,4.554353000077306
64,128,14745600,3.8039881269137066,7.998511616,1.4768110513687134,4.378959115873907
